[BACKTEST] Starting for BTC-USD on 15m...
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.531 DFA=0.584 Mean=0.558 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.472 Mean=0.522 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.574 DFA=0.487 Mean=0.531 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.560 DFA=0.495 Mean=0.527 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.558 DFA=0.559 Mean=0.558 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.511 DFA=0.513 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.516 DFA=0.505 Mean=0.510 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.531 DFA=0.484 Mean=0.508 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.514 DFA=0.513 Mean=0.514 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.527 DFA=0.544 Mean=0.535 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.549 DFA=0.504 Mean=0.527 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.547 DFA=0.525 Mean=0.536 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.469 DFA=0.456 Mean=0.462 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.446 DFA=0.481 Mean=0.464 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.500 DFA=0.494 Mean=0.497 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.461 DFA=0.414 Mean=0.437 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.444 DFA=0.420 Mean=0.432 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.433 DFA=0.382 Mean=0.407 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=12.8% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.470 DFA=0.417 Mean=0.443 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.481 DFA=0.364 Mean=0.423 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.410 DFA=0.370 Mean=0.390 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=29.8% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.413 DFA=0.382 Mean=0.398 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=22.1% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.411 DFA=0.319 Mean=0.365 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=54.8% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.462 DFA=0.344 Mean=0.403 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=5.3% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.420 DFA=0.311 Mean=0.366 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=43.7% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.368 DFA=0.313 Mean=0.340 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=70% | Actionable=true
[HURST] MEAN_REVERTING | R/S=0.364 DFA=0.310 Mean=0.337 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=70% | Actionable=true
[HURST] MEAN_REVERTING | R/S=0.384 DFA=0.389 Mean=0.386 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=33.5% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.510 DFA=0.431 Mean=0.470 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.489 DFA=0.390 Mean=0.440 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.513 DFA=0.376 Mean=0.445 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.528 DFA=0.442 Mean=0.485 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.521 DFA=0.460 Mean=0.490 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.522 DFA=0.437 Mean=0.480 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.476 DFA=0.367 Mean=0.422 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.499 DFA=0.440 Mean=0.470 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.537 DFA=0.457 Mean=0.497 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.470 DFA=0.452 Mean=0.461 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.436 DFA=0.301 Mean=0.368 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=38.2% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.408 DFA=0.270 Mean=0.339 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=56.2% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.389 DFA=0.362 Mean=0.375 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=44.6% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.430 DFA=0.363 Mean=0.396 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=23.9% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.453 DFA=0.467 Mean=0.460 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.518 DFA=0.421 Mean=0.470 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.538 DFA=0.382 Mean=0.460 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.535 DFA=0.445 Mean=0.490 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.567 DFA=0.452 Mean=0.509 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.490 DFA=0.371 Mean=0.431 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.603 DFA=0.531 Mean=0.567 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.581 DFA=0.538 Mean=0.560 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.557 DFA=0.440 Mean=0.499 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.508 DFA=0.461 Mean=0.485 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.542 DFA=0.498 Mean=0.520 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.562 DFA=0.516 Mean=0.539 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.635 DFA=0.502 Mean=0.568 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.625 DFA=0.417 Mean=0.521 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.619 DFA=0.400 Mean=0.509 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.552 DFA=0.339 Mean=0.445 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.618 DFA=0.435 Mean=0.527 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.605 DFA=0.467 Mean=0.536 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.607 DFA=0.532 Mean=0.569 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.624 DFA=0.515 Mean=0.569 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.590 DFA=0.444 Mean=0.517 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.622 DFA=0.601 Mean=0.612 Stable=true
[REGIME] TRENDING | Heuristic Score=31.6% | Actionable=false
[HURST] TRENDING | R/S=0.641 DFA=0.636 Mean=0.638 Stable=true
[REGIME] TRENDING | Heuristic Score=58.4% | Actionable=false
[HURST] TRENDING | R/S=0.657 DFA=0.741 Mean=0.699 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.657 DFA=0.747 Mean=0.702 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.670 DFA=0.730 Mean=0.700 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.668 DFA=0.756 Mean=0.712 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.646 DFA=0.709 Mean=0.678 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.683 DFA=0.738 Mean=0.710 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.657 DFA=0.711 Mean=0.684 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.618 DFA=0.591 Mean=0.604 Stable=true
[REGIME] TRENDING | Heuristic Score=24.4% | Actionable=false
[HURST] TRENDING | R/S=0.649 DFA=0.624 Mean=0.637 Stable=true
[REGIME] TRENDING | Heuristic Score=56.5% | Actionable=false
[HURST] TRENDING | R/S=0.648 DFA=0.534 Mean=0.591 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.650 DFA=0.604 Mean=0.627 Stable=true
[REGIME] TRENDING | Heuristic Score=47% | Actionable=false
[HURST] TRENDING | R/S=0.673 DFA=0.717 Mean=0.695 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.715 DFA=0.646 Mean=0.681 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.677 DFA=0.636 Mean=0.657 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.677 DFA=0.640 Mean=0.658 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.700 DFA=0.702 Mean=0.701 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.697 DFA=0.678 Mean=0.688 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.743 DFA=0.626 Mean=0.684 Stable=false
[REGIME] TRENDING | Heuristic Score=58.3% | Actionable=false
[HURST] TRENDING | R/S=0.669 DFA=0.520 Mean=0.594 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.694 DFA=0.499 Mean=0.597 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.633 DFA=0.614 Mean=0.623 Stable=true
[REGIME] TRENDING | Heuristic Score=43.4% | Actionable=false
[HURST] TRENDING | R/S=0.636 DFA=0.644 Mean=0.640 Stable=true
[REGIME] TRENDING | Heuristic Score=60.1% | Actionable=true
[HURST] TRENDING | R/S=0.657 DFA=0.614 Mean=0.635 Stable=true
[REGIME] TRENDING | Heuristic Score=55.3% | Actionable=false
[HURST] TRENDING | R/S=0.667 DFA=0.547 Mean=0.607 Stable=false
[REGIME] TRENDING | Heuristic Score=15.3% | Actionable=false
[HURST] TRENDING | R/S=0.670 DFA=0.763 Mean=0.717 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.694 DFA=0.738 Mean=0.716 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.709 DFA=0.693 Mean=0.701 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.695 DFA=0.716 Mean=0.706 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.716 DFA=0.688 Mean=0.702 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.654 DFA=0.638 Mean=0.646 Stable=true
[REGIME] TRENDING | Heuristic Score=66.2% | Actionable=true
[HURST] TRENDING | R/S=0.731 DFA=0.648 Mean=0.689 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.714 DFA=0.569 Mean=0.642 Stable=false
[REGIME] TRENDING | Heuristic Score=47.1% | Actionable=false
[HURST] TRENDING | R/S=0.688 DFA=0.557 Mean=0.622 Stable=false
[REGIME] TRENDING | Heuristic Score=29.2% | Actionable=false
[HURST] TRENDING | R/S=0.634 DFA=0.533 Mean=0.583 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.563 DFA=0.545 Mean=0.554 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.574 DFA=0.546 Mean=0.560 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.555 DFA=0.586 Mean=0.570 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.585 DFA=0.604 Mean=0.594 Stable=true
[REGIME] TRENDING | Heuristic Score=14.5% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.564 DFA=0.496 Mean=0.530 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.610 Mean=0.628 Stable=true
[REGIME] TRENDING | Heuristic Score=48.1% | Actionable=false
[HURST] TRENDING | R/S=0.620 DFA=0.654 Mean=0.637 Stable=true
[REGIME] TRENDING | Heuristic Score=57.3% | Actionable=false
[HURST] TRENDING | R/S=0.648 DFA=0.665 Mean=0.656 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.638 DFA=0.670 Mean=0.654 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=true
[HURST] TRENDING | R/S=0.586 DFA=0.683 Mean=0.635 Stable=true
[REGIME] TRENDING | Heuristic Score=54.7% | Actionable=false
[HURST] TRENDING | R/S=0.609 DFA=0.641 Mean=0.625 Stable=true
