[BACKTEST] Starting for BTC-USD on 15m...
[HURST] RANDOM_WALK | R/S=0.526 DFA=0.446 Mean=0.486 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.565 DFA=0.484 Mean=0.525 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.608 DFA=0.474 Mean=0.541 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.652 DFA=0.472 Mean=0.562 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.572 DFA=0.545 Mean=0.558 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.529 DFA=0.494 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.539 DFA=0.583 Mean=0.561 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.576 DFA=0.550 Mean=0.563 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.569 DFA=0.504 Mean=0.537 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.548 DFA=0.540 Mean=0.544 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.544 DFA=0.560 Mean=0.552 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.597 DFA=0.566 Mean=0.581 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.570 DFA=0.560 Mean=0.565 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.552 DFA=0.548 Mean=0.550 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.567 DFA=0.618 Mean=0.593 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.453 DFA=0.472 Mean=0.462 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.499 DFA=0.422 Mean=0.461 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.509 DFA=0.480 Mean=0.494 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.413 DFA=0.457 Mean=0.435 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.435 DFA=0.460 Mean=0.447 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
